Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-9dvt,branch-ovqe,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Context,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: consent
1,1784125417776,15/07/2026 14:23:37,1784125417776,2,15/07/2026 16:23:37,273725,7,questionnaire-2hmd,,57224258,BLINDED,16357977,,complete,,,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,390x844,390x664,,,0,Kwestionariusz poczatkowy,11,AndWith,continue,,,,,info,,BEGIN,,,,,,,
5,1784125436863,15/07/2026 14:23:56,1784125436863,2,15/07/2026 16:23:56,273725,7,questionnaire-2hmd,,57224258,BLINDED,16357977,,complete,,,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,390x844,390x664,,,0,Kwestionariusz poczatkowy,11,AndWith,continue,Page 1,1cnehp,1,**Czy masz ukończone 18 lat i wyrażasz zgodę na udział w badaniu?**,response,value,TAK,,,TAK|NIE,consent,2,object-5,TAK
6,1784125436863,15/07/2026 14:23:56,1784125436863,2,15/07/2026 16:23:56,273725,7,questionnaire-2hmd,,57224258,BLINDED,16357977,,complete,,,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,390x844,390x664,,,0,Kwestionariusz poczatkowy,11,AndWith,continue,Page 1,1cnehp,1,**Czy masz ukończone 18 lat i wyrażasz zgodę na udział w badaniu?**,response,quantised,1,,,TAK|NIE,consent,2,object-5,TAK
7,1784125436863,15/07/2026 14:23:56,1784125436863,2,15/07/2026 16:23:56,273725,7,questionnaire-2hmd,,57224258,BLINDED,16357977,,complete,,,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,390x844,390x664,,,0,Kwestionariusz poczatkowy,11,AndWith,continue,,,,,info,,END,,19067,,,,,
1,1784154345597,15/07/2026 22:25:45,1784154345597,2,16/07/2026 00:25:45,273725,7,questionnaire-2hmd,,57237646,BLINDED,16361802,,complete,,,mobile,Apple iPhone,iOS 18.7,Facebook 568.1.0.22.103,375x667,375x533,,,0,Kwestionariusz poczatkowy,11,CondLack,continue,,,,,info,,BEGIN,,,,,,,
5,1784154347979,15/07/2026 22:25:47,1784154347979,2,16/07/2026 00:25:47,273725,7,questionnaire-2hmd,,57237646,BLINDED,16361802,,complete,,,mobile,Apple iPhone,iOS 18.7,Facebook 568.1.0.22.103,375x667,375x533,,,0,Kwestionariusz poczatkowy,11,CondLack,continue,Page 1,1cnehp,1,**Czy masz ukończone 18 lat i wyrażasz zgodę na udział w badaniu?**,response,value,TAK,,,TAK|NIE,consent,2,object-5,TAK
6,1784154347979,15/07/2026 22:25:47,1784154347979,2,16/07/2026 00:25:47,273725,7,questionnaire-2hmd,,57237646,BLINDED,16361802,,complete,,,mobile,Apple iPhone,iOS 18.7,Facebook 568.1.0.22.103,375x667,375x533,,,0,Kwestionariusz poczatkowy,11,CondLack,continue,Page 1,1cnehp,1,**Czy masz ukończone 18 lat i wyrażasz zgodę na udział w badaniu?**,response,quantised,1,,,TAK|NIE,consent,2,object-5,TAK
7,1784154347980,15/07/2026 22:25:47,1784154347980,2,16/07/2026 00:25:47,273725,7,questionnaire-2hmd,,57237646,BLINDED,16361802,,complete,,,mobile,Apple iPhone,iOS 18.7,Facebook 568.1.0.22.103,375x667,375x533,,,0,Kwestionariusz poczatkowy,11,CondLack,continue,,,,,info,,END,,2351,,,,,
1,1784200180503,16/07/2026 11:09:40,1784200180503,2,16/07/2026 13:09:40,273725,7,questionnaire-2hmd,,57245765,BLINDED,16363833,,complete,,,mobile,Xiaomi 2312DRAABG,Android 14,Facebook 569.0.0.44.91,393x873,392x743,,,0,Kwestionariusz poczatkowy,11,AndWith,continue,,,,,info,,BEGIN,,,,,,,
5,1784200184115,16/07/2026 11:09:44,1784200184115,2,16/07/2026 13:09:44,273725,7,questionnaire-2hmd,,57245765,BLINDED,16363833,,complete,,,mobile,Xiaomi 2312DRAABG,Android 14,Facebook 569.0.0.44.91,393x873,392x743,,,0,Kwestionariusz poczatkowy,11,AndWith,continue,Page 1,1cnehp,1,**Czy masz ukończone 18 lat i wyrażasz zgodę na udział w badaniu?**,response,value,TAK,,,TAK|NIE,consent,2,object-5,TAK
6,1784200184116,16/07/2026 11:09:44,1784200184116,2,16/07/2026 13:09:44,273725,7,questionnaire-2hmd,,57245765,BLINDED,16363833,,complete,,,mobile,Xiaomi 2312DRAABG,Android 14,Facebook 569.0.0.44.91,393x873,392x743,,,0,Kwestionariusz poczatkowy,11,AndWith,continue,Page 1,1cnehp,1,**Czy masz ukończone 18 lat i wyrażasz zgodę na udział w badaniu?**,response,quantised,1,,,TAK|NIE,consent,2,object-5,TAK
7,1784200184117,16/07/2026 11:09:44,1784200184117,2,16/07/2026 13:09:44,273725,7,questionnaire-2hmd,,57245765,BLINDED,16363833,,complete,,,mobile,Xiaomi 2312DRAABG,Android 14,Facebook 569.0.0.44.91,393x873,392x743,,,0,Kwestionariusz poczatkowy,11,AndWith,continue,,,,,info,,END,,3540,,,,,
1,1784203812803,16/07/2026 12:10:12,1784203812803,2,16/07/2026 14:10:12,273725,7,questionnaire-2hmd,,57247272,BLINDED,16364258,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1061x718,,,0,Kwestionariusz poczatkowy,11,CondWith,continue,,,,,info,,BEGIN,,,,,,,
